流水號,會員編號,條碼,借出日期,歸還日期
115,M00028,C00130,2025-03-28,2025-04-06
116,M00031,C00057,2025-03-29,2025-04-18
117,M00013,C00046,2025-03-29,2025-04-11
118,M00007,C00015,2025-03-29,2025-04-03
119,M00037,C00125,2025-03-29,2025-04-28
120,M00029,C00074,2025-03-30,2025-04-09
121,M00030,C00049,2025-03-30,2025-04-16
122,M00023,C00082,2025-03-31,2025-04-22
123,M00024,C00039,2025-03-31,2025-04-14
124,M00006,C00012,2025-03-31,2025-04-13
125,M00038,C00116,2025-04-01,2025-04-10
126,M00031,C00087,2025-04-02,2025-04-30
127,M00025,C00011,2025-04-02,2025-04-04
128,M00027,C00001,2025-04-03,2025-04-20
129,M00011,C00032,2025-04-03,2025-04-20
130,M00014,C00004,2025-04-04,2025-04-06
131,M00027,C00038,2025-04-04,2025-04-27
132,M00002,C00070,2025-04-05,2025-04-17
133,M00018,C00092,2025-04-06,2025-04-29
134,M00006,C00123,2025-04-06,2025-04-22
135,M00038,C00054,2025-04-06,2025-05-03
136,M00006,C00095,2025-04-06,2025-04-17
137,M00009,C00040,2025-04-08,2025-05-05
138,M00007,C00102,2025-04-09,2025-05-01
139,M00030,C00051,2025-04-09,2025-04-16
140,M00011,C00128,2025-04-09,2025-04-23
141,M00035,C00134,2025-04-10,2025-04-30
142,M00030,C00140,2025-04-10,2025-05-07
143,M00016,C00088,2025-04-11,2025-04-23
144,M00038,C00018,2025-04-11,2025-04-22
145,M00008,C00023,2025-04-11,2025-04-20
146,M00032,C00101,2025-04-11,2025-05-02
147,M00027,C00094,2025-04-12,2025-04-16
148,M00016,C00008,2025-04-13,2025-04-21
149,M00029,C00137,2025-04-14,2025-05-08
150,M00013,C00016,2025-04-15,2025-04-18
151,M00037,C00086,2025-04-15,2025-05-15
152,M00011,C00096,2025-04-18,2025-04-21
153,M00023,C00021,2025-04-18,2025-05-18
154,M00027,C00072,2025-04-18,2025-04-30
155,M00031,C00045,2025-04-20,2025-05-02
156,M00001,C00034,2025-04-20,2025-05-02
157,M00003,C00014,2025-04-23,2025-04-26
158,M00002,C00090,2025-04-23,2025-05-18
159,M00005,C00037,2025-04-24,2025-05-03
160,M00028,C00073,2025-04-25,2025-05-12
161,M00034,C00015,2025-04-26,2025-05-26
162,M00009,C00126,2025-04-26,2025-05-17
163,M00029,C00076,2025-04-26,2025-05-04
164,M00040,C00048,2025-04-28,2025-05-14
165,M00011,C00027,2025-04-28,2025-05-15
166,M00038,C00129,2025-04-29,2025-05-26
167,M00016,C00003,2025-04-29,2025-05-13
168,M00034,C00044,2025-04-29,2025-05-16
169,M00030,C00112,2025-05-01,2025-05-06
170,M00029,C00052,2025-05-01,2025-05-26
171,M00038,C00105,2025-05-01,2025-05-14
172,M00013,C00007,2025-05-01,2025-05-26
173,M00011,C00030,2025-05-01,2025-05-17
174,M00035,C00138,2025-05-02,2025-05-09
175,M00008,C00066,2025-05-02,2025-05-25
176,M00011,C00047,2025-05-03,2025-05-16
177,M00015,C00022,2025-05-03,2025-05-13
178,M00019,C00085,2025-05-03,2025-06-02
179,M00018,C00010,2025-05-04,2025-05-12
180,M00034,C00028,2025-05-05,2025-05-25
181,M00036,C00001,2025-05-05,2025-06-04
182,M00025,C00078,2025-05-05,2025-05-27
183,M00004,C00113,2025-05-05,2025-05-09
184,M00036,C00025,2025-05-05,2025-05-15
185,M00029,C00042,2025-05-06,2025-06-03
186,M00036,C00058,2025-05-06,2025-05-17
187,M00024,C00060,2025-05-07,2025-05-19
188,M00011,C00006,2025-05-07,2025-05-16
189,M00019,C00053,2025-05-08,2025-06-06
190,M00032,C00107,2025-05-10,2025-05-16
191,M00018,C00132,2025-05-11,2025-06-02
192,M00004,C00024,2025-05-12,2025-06-03
193,M00033,C00049,2025-05-15,2025-06-12
194,M00016,C00017,2025-05-15,2025-05-20
195,M00017,C00119,2025-05-15,2025-05-17
196,M00017,C00068,2025-05-15,2025-05-27
197,M00010,C00004,2025-05-17,2025-05-18
198,M00020,C00011,2025-05-17,2025-05-29
199,M00019,C00080,2025-05-18,2025-05-27
200,M00036,C00019,2025-05-19,2025-06-02
201,M00028,C00101,2025-05-19,2025-05-25
202,M00027,C00029,2025-05-21,2025-06-06
203,M00040,C00141,2025-05-22,2025-05-24
204,M00040,C00121,2025-05-22,2025-06-21
205,M00015,C00098,2025-05-23,2025-05-30
206,M00014,C00064,2025-05-24,2025-06-22
207,M00018,C00100,2025-05-25,2025-06-03
208,M00030,C00112,2025-05-25,2025-06-11
209,M00003,C00082,2025-05-25,2025-06-15
210,M00025,C00065,2025-05-27,2025-05-28
211,M00005,C00131,2025-05-28,2025-06-09
212,M00015,C00074,2025-05-28,2025-06-15
213,M00007,C00091,2025-05-31,2025-06-29
214,M00009,C00033,2025-06-01,2025-06-12
215,M00004,C00106,2025-06-01,2025-06-19
216,M00010,C00070,2025-06-03,2025-06-04
217,M00039,C00031,2025-06-05,2025-06-21
218,M00001,C00110,2025-06-06,2025-06-20
219,M00037,C00142,2025-06-06,2025-06-24
220,M00023,C00126,2025-06-06,2025-06-29
221,M00020,C00066,2025-06-06,2025-06-26
222,M00029,C00008,2025-06-06,2025-07-06
223,M00033,C00059,2025-06-07,2025-06-21
224,M00001,C00108,2025-06-09,2025-06-30
225,M00028,C00023,2025-06-10,2025-06-14
226,M00035,C00115,2025-06-10,2025-07-08
227,M00014,C00018,2025-06-12,2025-07-02
228,M00039,C00020,2025-06-12,2025-06-28
229,M00024,C00099,2025-06-12,2025-06-14
230,M00014,C00120,2025-06-13,2025-06-20
231,M00013,C00073,2025-06-14,2025-07-03
232,M00037,C00036,2025-06-17,2025-06-28
233,M00007,C00009,2025-06-19,2025-07-16
234,M00005,C00140,2025-06-19,2025-07-08
235,M00015,C00133,2025-06-19,2025-07-01
236,M00003,C00096,2025-06-19,2025-06-25
237,M00004,C00050,2025-06-19,2025-07-02
238,M00006,C00077,2025-06-20,2025-07-03
239,M00006,C00089,2025-06-20,2025-07-04
240,M00022,C00013,2025-06-21,2025-07-05
241,M00020,C00103,2025-06-21,2025-06-26
242,M00027,C00116,2025-06-22,2025-07-07
243,M00016,C00034,2025-06-22,2025-07-17
244,M00034,C00122,2025-06-24,2025-07-12
245,M00001,C00070,2025-06-28,2025-07-17
246,M00024,C00093,2025-06-29,2025-07-06
247,M00034,C00083,2025-06-30,2025-07-17
248,M00015,C00055,2025-07-01,2025-07-18
249,M00037,C00124,2025-07-01,2025-07-17
250,M00015,C00063,2025-07-02,2025-07-12
251,M00011,C00109,2025-07-02,2025-07-09
252,M00037,C00103,2025-07-03,2025-07-10
253,M00019,C00097,2025-07-03,2025-07-19
254,M00038,C00081,2025-07-04,2025-07-26
255,M00030,C00095,2025-07-06,2025-08-01
256,M00027,C00017,2025-07-07,2025-07-30
257,M00019,C00094,2025-07-09,2025-07-19
258,M00037,C00074,2025-07-09,2025-08-08
259,M00023,C00135,2025-07-09,2025-07-19
260,M00039,C00061,2025-07-10,2025-07-31
261,M00019,C00046,2025-07-12,2025-08-07
262,M00034,C00118,2025-07-12,2025-07-28
263,M00016,C00100,2025-07-14,2025-07-18
264,M00004,C00123,2025-07-14,2025-07-16
265,M00008,C00071,2025-07-15,2025-08-10
266,M00019,C00039,2025-07-15,2025-07-28
267,M00018,C00109,2025-07-16,2025-07-31
268,M00036,C00127,2025-07-16,2025-08-06
269,M00034,C00043,2025-07-16,2025-08-05
270,M00013,C00049,2025-07-16,2025-07-28
271,M00011,C00114,2025-07-17,2025-08-05
272,M00028,C00075,2025-07-17,2025-08-05
273,M00017,C00022,2025-07-18,2025-07-27
274,M00039,C00021,2025-07-18,2025-08-14
275,M00015,C00025,2025-07-18,2025-08-13
276,M00034,C00041,2025-07-19,2025-08-17
277,M00008,C00136,2025-07-19,2025-08-13
278,M00029,C00073,2025-07-20,2025-07-27
279,M00035,C00014,2025-07-20,2025-08-14
280,M00031,C00139,2025-07-20,2025-07-25
281,M00006,C00086,2025-07-21,2025-08-09
282,M00040,C00045,2025-07-21,2025-08-15
283,M00031,C00135,2025-07-21,2025-08-03
284,M00029,C00032,2025-07-21,2025-07-25
285,M00002,C00057,2025-07-22,2025-08-12
286,M00010,C00004,2025-07-23,2025-07-26
287,M00016,C00067,2025-07-23,2025-08-09
288,M00023,C00087,2025-07-23,2025-08-15
289,M00001,C00060,2025-07-24,2025-08-02
290,M00025,C00088,2025-07-24,2025-07-26
291,M00033,C00097,2025-07-25,2025-08-24
292,M00030,C00016,2025-07-26,2025-08-21
293,M00038,C00129,2025-07-26,2025-08-07
294,M00017,C00119,2025-07-27,2025-08-22
295,M00036,C00009,2025-07-29,2025-08-28
296,M00031,C00038,2025-07-30,2025-08-29
297,M00023,C00065,2025-07-31,2025-08-21
298,M00014,C00080,2025-08-01,2025-08-28
299,M00024,C00028,2025-08-01,2025-08-02
300,M00040,C00007,2025-08-01,2025-08-07
301,M00024,C00024,2025-08-01,2025-08-14
302,M00009,C00026,2025-08-01,2025-08-03
303,M00024,C00001,2025-08-02,2025-08-03
304,M00036,C00010,2025-08-03,2025-08-21
305,M00025,C00054,2025-08-03,2025-08-27
306,M00037,C00096,2025-08-04,2025-08-20
307,M00012,C00005,2025-08-10,2025-08-14
308,M00036,C00027,2025-08-10,2025-08-13
309,M00033,C00076,2025-08-10,2025-08-22
310,M00012,C00069,2025-08-11,2025-08-12
311,M00019,C00003,2025-08-12,2025-08-30
312,M00017,C00031,2025-08-13,2025-09-09
313,M00019,C00115,2025-08-13,2025-08-21
314,M00030,C00062,2025-08-13,2025-08-14
315,M00004,C00067,2025-08-13,2025-08-30
316,M00031,C00048,2025-08-14,2025-09-08
317,M00036,C00077,2025-08-15,2025-08-25
318,M00031,C00037,2025-08-15,2025-09-07
319,M00036,C00044,2025-08-16,2025-08-19
320,M00020,C00103,2025-08-17,2025-09-06
321,M00026,C00055,2025-08-19,2025-09-02
322,M00030,C00053,2025-08-20,2025-09-15
323,M00029,C00006,2025-08-20,2025-09-17
324,M00027,C00030,2025-08-20,2025-08-31
325,M00039,C00141,2025-08-20,2025-09-14
326,M00029,C00051,2025-08-21,2025-09-04
327,M00004,C00058,2025-08-21,2025-08-30
328,M00035,C00099,2025-08-21,2025-09-03
329,M00008,C00104,2025-08-21,2025-09-20
330,M00002,C00108,2025-08-21,2025-08-28
331,M00028,C00012,2025-08-21,2025-09-13
332,M00008,C00140,2025-08-23,2025-09-01
333,M00017,C00126,2025-08-23,2025-08-30
334,M00032,C00088,2025-08-24,2025-09-21
335,M00004,C00023,2025-08-25,2025-09-16
336,M00040,C00079,2025-08-25,2025-08-27
337,M00006,C00132,2025-08-26,2025-09-09
338,M00026,C00008,2025-08-27,2025-09-23
339,M00015,C00112,2025-08-27,2025-09-13
340,M00016,C00045,2025-08-28,2025-08-29
341,M00010,C00121,2025-08-28,2025-09-04
342,M00039,C00125,2025-08-28,2025-09-19
343,M00029,C00098,2025-08-29,2025-09-12
344,M00017,C00026,2025-08-29,2025-09-11
345,M00030,C00138,2025-09-02,2025-09-04
346,M00011,C00049,2025-09-02,2025-09-03
347,M00002,C00042,2025-09-02,2025-09-21
348,M00018,C00130,2025-09-02,2025-09-26
349,M00021,C00021,2025-09-04,2025-09-12
350,M00024,C00038,2025-09-05,2025-10-01
351,M00025,C00117,2025-09-07,2025-09-09
352,M00040,C00018,2025-09-08,2025-10-08
353,M00010,C00019,2025-09-10,2025-09-26
354,M00032,C00113,2025-09-11,2025-09-21
355,M00010,C00072,2025-09-12,2025-10-11
356,M00021,C00087,2025-09-13,2025-09-14
357,M00007,C00078,2025-09-13,2025-10-01
358,M00031,C00090,2025-09-14,2025-10-04
359,M00039,C00086,2025-09-14,2025-10-12
360,M00008,C00082,2025-09-15,2025-10-12
361,M00016,C00111,2025-09-15,2025-10-15
362,M00010,C00013,2025-09-15,2025-09-17
363,M00011,C00093,2025-09-18,2025-10-13
364,M00036,C00118,2025-09-18,2025-09-26
365,M00039,C00132,2025-09-19,2025-10-03
366,M00011,C00064,2025-09-20,2025-10-13
367,M00032,C00097,2025-09-20,2025-10-05
368,M00019,C00137,2025-09-22,2025-10-06
369,M00006,C00092,2025-09-23,2025-10-19
370,M00026,C00103,2025-09-23,2025-10-23
371,M00026,C00133,2025-09-23,2025-10-06
372,M00027,C00061,2025-09-23,2025-10-15
373,M00027,C00005,2025-09-28,2025-10-09
374,M00021,C00025,2025-09-29,2025-10-10
375,M00005,C00084,2025-09-29,2025-10-07
376,M00036,C00115,2025-09-30,2025-10-12
377,M00011,C00116,2025-10-01,2025-10-06
378,M00032,C00074,2025-10-01,2025-10-28
379,M00029,C00004,2025-10-02,2025-10-17
380,M00032,C00075,2025-10-02,2025-10-11
381,M00023,C00139,2025-10-03,2025-10-24
382,M00029,C00001,2025-10-03,2025-10-17
383,M00037,C00128,2025-10-05,2025-11-04
384,M00005,C00017,2025-10-08,2025-11-02
385,M00019,C00059,2025-10-09,2025-10-20
386,M00008,C00043,2025-10-09,2025-11-04
387,M00040,C00033,2025-10-10,2025-10-25
388,M00037,C00022,2025-10-10,2025-10-31
389,M00021,C00129,2025-10-10,2025-10-16
390,M00035,C00140,2025-10-12,2025-11-10
391,M00036,C00020,2025-10-12,2025-11-02
392,M00006,C00047,2025-10-13,2025-11-06
393,M00005,C00063,2025-10-13,2025-10-19
394,M00027,C00009,2025-10-15,2025-11-02
395,M00019,C00032,2025-10-15,2025-10-24
396,M00011,C00100,2025-10-15,2025-10-17
397,M00033,C00131,2025-10-17,2025-10-23
398,M00026,C00011,2025-10-18,2025-11-09
399,M00009,C00068,2025-10-20,2025-10-24
400,M00024,C00085,2025-10-20,2025-10-29
401,M00023,C00071,2025-10-22,2025-11-15
402,M00038,C00105,2025-10-23,2025-11-07
403,M00026,C00132,2025-10-23,2025-11-13
404,M00009,C00095,2025-10-25,2025-11-04
405,M00020,C00023,2025-10-26,2025-11-09
406,M00038,C00040,2025-10-26,2025-11-15
407,M00009,C00054,2025-10-27,2025-11-06
408,M00027,C00063,2025-10-28,2025-10-29
409,M00011,C00133,2025-10-28,2025-11-25
410,M00025,C00089,2025-10-29,2025-11-06
411,M00034,C00110,2025-10-30,2025-11-24
412,M00004,C00114,2025-11-01,2025-11-08
413,M00024,C00129,2025-11-01,2025-11-06
414,M00023,C00120,2025-11-02,2025-11-25
415,M00021,C00077,2025-11-04,2025-11-25
416,M00031,C00117,2025-11-05,2025-11-13
417,M00035,C00136,2025-11-07,2025-11-10
418,M00037,C00099,2025-11-07,2025-12-02
419,M00019,C00038,2025-11-09,2025-11-22
420,M00036,C00112,2025-11-09,2025-11-26
421,M00015,C00122,2025-11-09,2025-11-29
422,M00004,C00083,2025-11-10,2025-12-09
423,M00027,C00014,2025-11-10,2025-11-13
424,M00034,C00127,2025-11-11,2025-11-28
425,M00026,C00079,2025-11-11,2025-12-11
426,M00028,C00091,2025-11-12,2025-11-26
427,M00003,C00115,2025-11-13,2025-11-19
428,M00040,C00069,2025-11-13,2025-11-16
429,M00002,C00057,2025-11-14,2025-11-15
430,M00011,C00118,2025-11-14,2025-11-15
431,M00035,C00029,2025-11-15,2025-12-11
432,M00006,C00046,2025-11-15,2025-11-29
433,M00040,C00066,2025-11-16,2025-11-29
434,M00034,C00080,2025-11-16,2025-11-19
435,M00011,C00142,2025-11-17,2025-12-15
436,M00026,C00062,2025-11-17,
437,M00040,C00017,2025-11-17,2025-12-07
438,M00008,C00130,2025-11-18,2025-11-25
439,M00033,C00090,2025-11-19,2025-12-08
440,M00018,C00012,2025-11-20,2025-12-08
441,M00020,C00108,2025-11-21,
442,M00002,C00044,2025-11-21,
443,M00037,C00032,2025-11-22,
444,M00019,C00050,2025-11-22,2025-11-28
445,M00037,C00031,2025-11-22,2025-12-14
446,M00002,C00064,2025-11-22,2025-12-08
447,M00004,C00025,2025-11-23,2025-12-19
448,M00011,C00027,2025-11-23,2025-12-03
449,M00013,C00106,2025-11-23,2025-11-25
450,M00026,C00111,2025-11-25,2025-12-18
451,M00013,C00095,2025-11-25,2025-12-25
452,M00001,C00098,2025-11-26,2025-12-14
453,M00021,C00041,2025-11-27,
454,M00026,C00019,2025-11-27,
455,M00028,C00036,2025-11-27,2025-11-30
456,M00021,C00104,2025-11-28,2025-12-13
457,M00029,C00116,2025-11-29,
458,M00015,C00018,2025-11-29,2025-12-14
459,M00026,C00055,2025-11-29,2025-12-14
460,M00032,C00010,2025-11-30,2025-12-26
461,M00022,C00045,2025-11-30,
462,M00021,C00137,2025-11-30,
463,M00019,C00072,2025-12-01,2025-12-21
464,M00021,C00128,2025-12-02,2025-12-14
465,M00017,C00042,2025-12-02,
466,M00024,C00065,2025-12-05,2025-12-08
467,M00018,C00006,2025-12-05,2025-12-20
468,M00014,C00009,2025-12-05,
469,M00010,C00047,2025-12-06,
470,M00039,C00060,2025-12-07,2025-12-20
471,M00003,C00138,2025-12-07,
472,M00025,C00048,2025-12-07,2025-12-08
473,M00037,C00094,2025-12-11,
474,M00038,C00131,2025-12-13,
475,M00038,C00086,2025-12-15,
476,M00023,C00124,2025-12-16,2025-12-18
477,M00001,C00053,2025-12-16,
478,M00022,C00092,2025-12-17,
479,M00031,C00084,2025-12-18,2025-12-25
480,M00034,C00088,2025-12-19,
481,M00037,C00125,2025-12-20,2025-12-28
482,M00001,C00051,2025-12-21,
483,M00016,C00123,2025-12-21,
484,M00026,C00068,2025-12-22,
485,M00036,C00117,2025-12-22,
486,M00018,C00105,2025-12-23,
487,M00005,C00022,2025-12-23,
488,M00022,C00037,2025-12-24,
489,M00019,C00133,2025-12-24,2025-12-25
490,M00031,C00030,2025-12-26,
491,M00039,C00078,2025-12-26,
492,M00030,C00097,2025-12-27,
493,M00009,C00098,2025-12-28,
494,M00009,C00074,2025-12-29,
495,M00029,C00071,2025-12-29,
496,M00034,C00077,2025-12-29,
497,M00028,C00034,2025-12-30,
498,M00028,C00082,2025-12-31,
499,M00036,C00013,2025-12-31,
500,M00031,C00076,2025-12-31,
